tsne1,tsne2
-30.244236,60.34394
-35.392273,-21.494106
116.65802,12.426899
71.44466,80.38158
-45.498005,13.676092
-39.682274,-30.90359
-49.839596,33.302464
-91.13195,-1.5608556
-31.749323,-13.456387
-6.4968104,101.82446
7.7349896,-92.685745
6.5093813,13.011248
34.74512,18.960312
-44.51263,-19.055265
-0.6853278,-105.693726
-65.39988,-51.923496
6.5104423,17.706701
34.162525,-20.627321
9.42152,44.52782
-100.27391,45.894447
52.262478,8.352077
48.205677,-24.976099
-51.366592,-28.725208
54.960606,5.690531
53.031467,7.871354
-33.514553,-93.70283
85.11347,13.907683
-0.30726105,-95.89236
34.7091,76.7989
-24.92635,48.348457
4.130595,-77.062164
-41.23695,-84.65991
56.921837,-47.277718
7.500204,-32.03919
-110.62629,-18.540129
-16.479591,65.78865
-1.6889908,-95.2176
19.217297,73.47714
-48.127514,104.13821
57.440506,20.028446
-34.253967,-25.05003
-20.562836,-76.18221
-59.707977,65.57877
55.550777,-37.080086
80.792656,-2.994165
3.7297132,44.716835
3.9259782,-20.01409
4.287016,63.76354
49.125877,-27.991665
90.53642,34.89049
-38.54456,-30.874987
-10.416244,-102.33804
71.31264,50.759346
-1.9020289,-62.032562
-65.97873,9.961007
-51.15972,-36.57371
-27.353474,32.26284
21.008268,-24.182121
-43.417873,83.11248
70.4054,8.524606
44.732086,-84.23416
-49.96386,108.50292
-74.65791,38.757957
62.287594,-29.38618
-105.74077,-7.9244027
47.73057,92.70923
40.32484,-100.98212
-9.377895,-114.64396
-71.2691,16.970314
16.93421,15.04697
69.914444,26.533703
-10.048812,3.0580487
-15.43662,38.75229
65.32983,-0.95450795
4.003672,33.420418
37.05145,-17.183449
-30.018648,-84.84643
74.53,40.879272
-2.4240756,-10.286913
-87.78397,-24.64452
-22.531597,-13.392935
105.48379,-13.281069
57.32553,-91.84431
-59.078537,73.07023
-90.17679,54.459785
39.389965,39.28886
12.4957695,-78.0516
72.32695,2.4260974
89.70711,41.328804
71.12453,25.027828
-89.50328,54.533268
-68.386185,-56.825184
62.162304,67.842896
6.24866,-19.818966
-75.36118,-0.2796337
-20.565382,-80.66397
-33.951702,-78.36838
-21.865194,41.29081
-13.971263,-100.13609
59.153503,85.920425
27.784353,-19.935097
66.1704,5.4931965
6.8877544,15.730728
-78.83851,37.837795
19.50435,33.704002
-31.27969,26.213285
-36.225967,-111.38024
-35.67881,-15.643168
-14.247445,-98.80807
-84.13817,-41.711666
-110.01744,8.196571
2.8284621,-56.065254
-84.844604,-42.520733
-32.074543,-47.105747
-68.247795,-13.330908
-4.896671,18.378584
3.6461878,51.773346
-28.605614,102.61909
-49.05109,-59.095978
-0.35411045,-18.047058
6.7370763,-19.706923
-93.93563,-54.272755
103.38955,6.7922363
72.46086,10.44123
-8.1461735,-34.87942
-90.05996,-31.371798
46.734,-28.22076
53.639664,57.02264
1.3635621,-7.1168075
64.929276,82.959885
-81.1649,47.998074
40.787277,-11.950296
-33.16065,59.780834
8.009474,87.36987
13.043288,112.82052
24.512686,54.21165
-44.45996,-23.129261
39.114353,-14.899013
-34.973366,-17.948519
-16.199877,51.42291
28.338726,71.71289
1.0382909,-86.68445
-36.990627,-32.60995
70.926544,30.970911
-29.140368,114.077576
70.18379,-64.18368
-98.47513,47.15313
-68.11462,29.681267
-36.272575,-90.14304
-74.331795,9.063345
-40.0145,-75.70226
-66.45519,-13.18205
-96.253456,-32.79453
57.483727,-13.772431
-78.392876,38.608288
69.94589,10.668636
-43.142315,6.1938844
-34.989162,-17.865667
0.9239543,66.3894
-32.51848,79.56626
35.193882,77.989746
-47.945004,-77.28122
-17.908545,44.47067
78.8102,0.83757055
100.9559,15.366511
85.20557,12.644321
73.38421,-0.15314074
-18.15546,-98.8535
-36.129948,63.529854
-42.532948,48.152893
68.72774,-21.182112
-96.28216,-23.785042
-29.18089,-21.728487
-0.24666521,-47.519073
104.081215,8.866209
-42.671616,35.237556
67.578125,-0.49712405
53.21578,56.876022
-90.65781,-37.042076
-6.5856023,92.09867
-74.58005,17.917704
70.94569,39.918842
27.396082,44.58976
-32.401283,20.282858
14.232999,105.65843
-10.239641,-35.03692
7.236878,38.520184
-52.70337,56.07476
18.237103,51.795776
-28.653551,6.902801
1.8028855,-90.995445
2.1369414,-89.75439
95.56615,-55.13241
54.757435,-10.951295
50.00565,-36.92384
-25.184626,-74.12325
-38.24174,-84.53407
-23.80603,-38.333282
32.136295,-112.75579
13.42623,25.775377
37.959595,-10.597228
20.321024,18.211428
10.77683,77.53771
-27.118774,-53.36142
-29.944202,-45.448814
21.018656,109.41261
-47.261265,-26.657309
-34.618374,-74.911446
-105.96978,-29.391941
-34.375244,14.246816
-38.07892,35.973034
35.26863,-79.06644
9.025097,103.91847
10.598243,7.223072
67.2161,42.470665
