umap1,umap2
12.0789995,6.3576355
12.008732,6.2894144
12.158371,6.338149
12.114295,6.384498
12.157826,6.567967
11.84387,6.1461854
12.067368,6.379562
12.108091,6.3618064
12.143859,6.297596
11.857695,6.117592
12.193787,6.5675664
11.98424,6.4126406
12.305547,6.5253263
12.224488,6.5262456
11.902199,6.189943
11.968306,6.2101984
12.0906925,6.4603996
12.120445,6.2517323
12.105049,6.332555
12.236353,6.578624
12.106473,6.4070597
12.261255,6.4073796
12.007349,6.4715104
12.017629,6.302909
14.603314,9.873703
14.709953,10.032914
14.569359,9.897723
14.753182,10.027044
14.704729,10.01507
14.801378,10.064283
14.576948,9.9670515
